Date(UTC),OrderNo,Pair,Type,Order Price,Order Amount,AvgTrading Price,Filled,Total,Trigger Condition,status
2024-01-04 08:57:49,841027278,LUNCUSDT,BUY,0.00011885,282394.97,0.00011883,282394.97,33.55699427,,Filled
2024-01-04 08:57:05,595661074,USTCUSDT,BUY,0.02786508,1202,0.02783223,1202,33.45434046,,Filled
